2.932,-0.055,-0.092
2.929,-0.050,-0.092
2.926,-0.044,-0.092
2.924,-0.039,-0.092
2.921,-0.034,-0.092
2.920,-0.029,-0.092
2.919,-0.023,-0.092
2.919,-0.018,-0.092
2.918,-0.013,-0.092
2.918,-0.008,-0.092
2.919,-0.003,-0.092
2.920,0.003,-0.092
2.922,0.008,-0.092
2.923,0.013,-0.092
2.925,0.018,-0.092
2.928,0.024,-0.092
2.932,0.029,-0.092
2.979,-0.098,-0.086
2.960,-0.093,-0.085
2.951,-0.087,-0.085
2.942,-0.081,-0.085
2.937,-0.076,-0.084
2.932,-0.071,-0.084
2.928,-0.065,-0.084
2.923,-0.060,-0.084
2.921,-0.055,-0.084
2.918,-0.050,-0.084
2.916,-0.044,-0.084
2.914,-0.039,-0.084
2.912,-0.034,-0.084
2.911,-0.029,-0.084
2.911,-0.023,-0.084
2.911,-0.018,-0.084
2.910,-0.013,-0.084
2.910,-0.008,-0.084
2.911,-0.003,-0.084
2.912,0.003,-0.084
2.913,0.008,-0.084
2.914,0.013,-0.084
2.916,0.018,-0.084
2.918,0.023,-0.084
2.921,0.029,-0.084
2.924,0.034,-0.084
2.928,0.039,-0.084
2.931,0.044,-0.084
2.937,0.050,-0.084
2.943,0.055,-0.085
2.950,0.061,-0.085
2.960,0.066,-0.085
2.974,0.072,-0.086
2.988,-0.104,-0.078
2.963,-0.098,-0.077
2.954,-0.092,-0.077
2.944,-0.087,-0.077
2.937,-0.081,-0.076
2.932,-0.076,-0.076
2.928,-0.071,-0.076
2.923,-0.065,-0.076
2.919,-0.060,-0.076
2.917,-0.055,-0.076
2.915,-0.049,-0.076
2.913,-0.044,-0.076
2.911,-0.039,-0.076
2.909,-0.034,-0.076
2.908,-0.029,-0.076
2.908,-0.023,-0.076
2.907,-0.018,-0.076
2.907,-0.013,-0.076
2.907,-0.008,-0.076
2.907,-0.003,-0.076
2.908,0.003,-0.076
2.910,0.008,-0.076
2.911,0.013,-0.076
2.912,0.018,-0.076
2.914,0.023,-0.076
2.917,0.029,-0.076
2.920,0.034,-0.076
2.924,0.039,-0.076
2.927,0.044,-0.076
2.932,0.050,-0.076
2.938,0.055,-0.076
2.944,0.060,-0.077
2.951,0.066,-0.077
2.965,0.071,-0.077
2.988,0.077,-0.078
2.971,-0.103,-0.069
2.956,-0.098,-0.069
2.947,-0.092,-0.069
2.938,-0.087,-0.068
2.933,-0.081,-0.068
2.928,-0.076,-0.068
2.923,-0.070,-0.068
2.919,-0.065,-0.068
2.916,-0.060,-0.068
2.913,-0.055,-0.068
2.911,-0.049,-0.068
2.909,-0.044,-0.068
2.907,-0.039,-0.068
2.905,-0.034,-0.068
2.905,-0.029,-0.068
2.905,-0.023,-0.068
2.904,-0.018,-0.068
2.904,-0.013,-0.068
2.903,-0.008,-0.068
2.904,-0.003,-0.068
2.905,0.003,-0.068
2.906,0.008,-0.068
2.908,0.013,-0.068
2.909,0.018,-0.068
2.910,0.023,-0.068
2.913,0.029,-0.068
2.916,0.034,-0.068
2.920,0.039,-0.068
2.923,0.044,-0.068
2.926,0.050,-0.068
2.933,0.055,-0.068
2.939,0.060,-0.068
2.946,0.066,-0.069
2.955,0.071,-0.069
2.969,0.077,-0.069
2.981,-0.109,-0.061
2.959,-0.103,-0.061
2.949,-0.097,-0.061
2.940,-0.092,-0.060
2.933,-0.086,-0.060
2.928,-0.081,-0.060
2.924,-0.076,-0.060
2.919,-0.070,-0.060
2.914,-0.065,-0.060
2.912,-0.060,-0.060
2.910,-0.055,-0.060
2.908,-0.049,-0.060
2.906,-0.044,-0.060
2.903,-0.039,-0.060
2.902,-0.034,-0.060
2.902,-0.028,-0.060
2.901,-0.023,-0.060
2.901,-0.018,-0.060
2.900,-0.013,-0.060
2.900,-0.008,-0.060
2.900,-0.003,-0.060
2.902,0.003,-0.060
2.903,0.008,-0.060
2.904,0.013,-0.060
2.906,0.018,-0.060
2.907,0.023,-0.060
2.909,0.029,-0.060
2.913,0.034,-0.060
2.916,0.039,-0.060
2.919,0.044,-0.060
2.922,0.050,-0.060
2.928,0.055,-0.060
2.934,0.060,-0.060
2.940,0.066,-0.060
2.947,0.071,-0.061
2.960,0.077,-0.061
2.974,0.082,-0.061
2.991,-0.115,-0.053
2.964,-0.109,-0.053
2.952,-0.103,-0.053
2.943,-0.097,-0.052
2.934,-0.092,-0.052
2.928,-0.086,-0.052
2.924,-0.081,-0.052
2.919,-0.076,-0.052
2.915,-0.070,-0.052
2.911,-0.065,-0.052
2.909,-0.060,-0.052
2.906,-0.054,-0.052
2.904,-0.049,-0.052
2.902,-0.044,-0.052
2.900,-0.039,-0.052
2.899,-0.034,-0.052
2.898,-0.028,-0.052
2.898,-0.023,-0.052
2.898,-0.018,-0.052
2.897,-0.013,-0.052
2.897,-0.008,-0.052
2.897,-0.003,-0.052
2.898,0.003,-0.052
2.900,0.008,-0.052
2.901,0.013,-0.052
2.902,0.018,-0.052
2.903,0.023,-0.052
2.906,0.029,-0.052
2.909,0.034,-0.052
2.912,0.039,-0.052
2.915,0.044,-0.052
2.919,0.050,-0.052
2.922,0.055,-0.052
2.929,0.060,-0.052
2.935,0.066,-0.052
2.942,0.071,-0.052
2.951,0.076,-0.053
2.965,0.082,-0.053
3.007,0.089,-0.054
3.159,-0.274,-0.048
3.156,-0.268,-0.048
3.155,-0.263,-0.048
3.156,-0.257,-0.048
3.160,-0.252,-0.048
3.168,-0.247,-0.048
2.974,-0.114,-0.045
2.954,-0.108,-0.045
2.945,-0.103,-0.044
2.936,-0.097,-0.044
2.929,-0.092,-0.044
2.924,-0.086,-0.044
2.919,-0.081,-0.044
2.915,-0.075,-0.044
2.910,-0.070,-0.044
2.907,-0.065,-0.044
2.905,-0.060,-0.044
2.903,-0.054,-0.044
2.901,-0.049,-0.044
2.899,-0.044,-0.044
2.896,-0.039,-0.044
2.896,-0.034,-0.044
2.895,-0.028,-0.044
2.895,-0.023,-0.044
2.894,-0.018,-0.044
2.894,-0.013,-0.044
2.894,-0.008,-0.044
2.894,-0.003,-0.044
2.895,0.003,-0.044
2.896,0.008,-0.044
2.898,0.013,-0.044
2.899,0.018,-0.044
2.900,0.023,-0.044
2.902,0.028,-0.044
2.905,0.034,-0.044
2.908,0.039,-0.044
2.911,0.044,-0.044
2.915,0.049,-0.044
2.918,0.055,-0.044
2.924,0.060,-0.044
2.930,0.065,-0.044
2.936,0.071,-0.044
2.943,0.076,-0.044
2.955,0.082,-0.045
2.969,0.088,-0.045
3.159,-0.274,-0.039
3.156,-0.268,-0.039
3.155,-0.263,-0.039
3.156,-0.257,-0.039
3.160,-0.252,-0.039
2.755,-0.214,-0.034
2.745,-0.209,-0.034
2.739,-0.203,-0.034
2.734,-0.198,-0.034
2.731,-0.193,-0.034
2.729,-0.188,-0.034
2.727,-0.183,-0.034
2.131,-0.139,-0.026
2.097,-0.133,-0.026
2.064,-0.127,-0.025
2.064,-0.124,-0.025
2.065,-0.120,-0.025
2.066,-0.116,-0.025
2.066,-0.113,-0.025
2.067,-0.109,-0.026
2.068,-0.105,-0.026
2.068,-0.102,-0.026
2.069,-0.098,-0.026
2.070,-0.094,-0.026
2.070,-0.091,-0.026
2.071,-0.087,-0.026
2.072,-0.083,-0.026
2.072,-0.080,-0.026
2.073,-0.076,-0.026
2.073,-0.072,-0.026
2.074,-0.069,-0.026
2.075,-0.065,-0.026
2.075,-0.061,-0.026
2.076,-0.057,-0.026
2.077,-0.054,-0.026
2.077,-0.050,-0.026
2.078,-0.046,-0.026
2.079,-0.043,-0.026
2.079,-0.039,-0.026
2.080,-0.035,-0.026
2.081,-0.032,-0.026
2.081,-0.028,-0.026
2.082,-0.024,-0.026
2.083,-0.020,-0.026
2.083,-0.017,-0.026
2.084,-0.013,-0.026
2.085,-0.009,-0.026
2.085,-0.006,-0.026
2.086,-0.002,-0.026
2.087,0.002,-0.026
2.087,0.006,-0.026
2.088,0.009,-0.026
2.089,0.013,-0.026
2.089,0.017,-0.026
2.090,0.021,-0.026
2.091,0.024,-0.026
2.091,0.028,-0.026
2.092,0.032,-0.026
2.092,0.035,-0.026
2.093,0.039,-0.026
